x,y
479.1785012547429,395.5998530853799
481.9700504146547,392.1254924211346
486.92635095682664,384.2272462762729
490.98710998186857,375.73130545627293
495.49554748155947,364.74805970651
498.6313217570699,355.70018811857096
500.7910765369308,346.22701384807675
501.95295954919374,336.42438583463627
502.1052149288103,326.39148644804345
501.24630216719976,316.22982796890494
499.3849116888644,306.0422254936002
496.5398769372002,295.93175665628877
492.73998380555804,286.00071869146666
488.0236793901969,276.34959339319647
482.43868297985966,267.0760304404691
476.0415032423726,258.27385937723255
468.8968664648341,250.03214024340275
461.07706166341467,242.43426246226585
452.6612091634301,235.55710110384692
443.7344600674247,229.4702390606078
434.38713469579307,224.23526300310172
424.7138087386008,219.905140244519
414.8123563413403,216.52368281470987
404.7829598148227,214.1251041679953
386.74410310004316,210.72124476674574
366.04458728399743,203.1703836019114
347.0652954768191,188.3834017340723
306.4267496875327,137.34972965314938
300.1288757884879,130.02853391333636
298.04688539635765,127.78593353336933
256.3394821936645,68.59726940851479
252.43188030008037,63.34558566851104
242.73797052304144,50.9957255019194
228.25901899649182,24.299297265005215
213.4970400162612,-4.730899301107955
204.1297458942775,-28.7321085539366
199.9946663223727,-38.117911568157574
195.0393477389984,-47.19812390439807
189.30988860741502,-55.888273783798546
182.85958908147362,-64.10751809789201
175.74845517439326,-71.77939448329022
174.3183583930261,-73.0883632392589
179.2861585663758,-79.11728825763794
184.21210921948668,-86.70254218867433
187.42209373841015,-93.11010325403191
198.46287073553034,-104.10094864883821
205.1430752840602,-111.66465140665295
210.8395273629614,-120.06555723152591
215.48419003291687,-129.2033281134506
219.02158864985427,-138.9688250891562
247.85332476173267,-236.49125458648095
249.79556376218218,-244.36561736321667
251.0421642383312,-252.48736384376693
253.49119201467158,-274.98695006609734
253.66400786621668,-277.84319499931746
964.8200834821826,-1056.6279651797497
2022.132166815591,-91.25778762622502
1056.5473057045706,965.4730833830106
605.8352532249023,553.6900080827706
600.528018073246,546.5189395381371
593.6938758057069,538.0661971864095
586.1586044176735,530.2210679702296
577.9980164447718,523.0624821010678
569.29421574848,516.6624624542726
560.1347714619125,511.0853999373549
558.1253294038241,510.0940747259189
468.3569470294493,428.0628128253893
479.1785012547429,395.5998530853799
