z1,z2,rho,cdf
-3.5,-2.0,-0.4699989999999995,2.634594296686531e-09
-3.5,-2.0,-0.4599989999999995,3.5258751813599162e-09
-3.5,-2.0,-0.4499989999999995,4.671123570456889e-09
-3.5,-2.0,-0.4399989999999995,6.1292663558901045e-09
-3.5,-2.0,-0.42999899999999946,7.969731871985017e-09
-3.5,-2.0,-0.41999899999999946,1.0273717733381437e-08
-3.5,-2.0,-0.40999899999999945,1.3135523403430923e-08
-3.5,-2.0,-0.39999899999999944,1.6663941210113875e-08
-3.5,-2.0,-0.38999899999999943,2.0983698791577105e-08
-3.5,-2.0,-0.3799989999999994,2.6236945322209994e-08
-3.5,-2.0,-0.3699989999999994,3.2584773344971155e-08
-3.5,-2.0,-0.3599989999999994,4.0208767619983425e-08
-3.5,-2.0,-0.3499989999999994,4.931257209113648e-08
-3.5,-2.0,-0.3399989999999994,6.012346586945175e-08
-3.5,-2.0,-0.3299989999999994,7.289393903002722e-08
-3.5,-2.0,-0.31999899999999937,8.790325901145411e-08
-3.5,-2.0,-0.30999899999999936,1.0545901848708151e-07
-3.5,-2.0,-0.29999899999999935,1.2589865570122705e-07
-3.5,-2.0,-0.28999899999999934,1.4959093875644295e-07
-3.5,-2.0,-0.27999899999999933,1.7693740480314192e-07
-3.5,-2.0,-0.2699989999999993,2.0837374688812065e-07
-3.5,-2.0,-0.2599989999999993,2.443711400618966e-07
-3.5,-2.0,-0.2499989999999993,2.854374997608393e-07
-3.5,-2.0,-0.2399989999999993,3.3211866558114254e-07
-3.5,-2.0,-0.2299989999999993,3.849995040901544e-07
-3.5,-2.0,-0.21999899999999928,4.447049248060355e-07
-3.5,-2.0,-0.20999899999999927,5.119008039682321e-07
-3.5,-2.0,-0.19999899999999926,5.872948112115907e-07
-3.5,-2.0,-0.18999899999999925,6.716371347404574e-07
-3.5,-2.0,-0.17999899999999924,7.657211010715873e-07
-3.5,-2.0,-0.16999899999999923,8.703836858706001e-07
-3.5,-2.0,-0.15999899999999923,9.865059128432629e-07
-3.5,-2.0,-0.14999899999999922,1.1150131380558664e-06
-3.5,-2.0,-0.1399989999999992,1.2568752174465117e-06
-3.5,-2.0,-0.1299989999999992,1.413106555647961e-06
-3.5,-2.0,-0.11999899999999919,1.58476603457206e-06
-3.5,-2.0,-0.10999899999999918,1.7729568205032323e-06
-3.5,-2.0,-0.09999899999999917,1.978826048713813e-06
-3.5,-2.0,-0.08999899999999916,2.203564384845785e-06
-3.5,-2.0,-0.07999899999999915,2.4484054625016983e-06
-3.5,-2.0,-0.06999899999999915,2.714625196651849e-06
-3.5,-2.0,-0.059998999999999136,3.003540972594995e-06
-3.5,-2.0,-0.04999899999999913,3.316510710306422e-06
-3.5,-2.0,-0.03999899999999912,3.654931804070246e-06
-3.5,-2.0,-0.02999899999999911,4.020239937322603e-06
-3.5,-2.0,-0.0199989999999991,4.413907772629899e-06
-3.5,-2.0,-0.009998999999999092,4.837443516691273e-06
-3.5,-1.5,-0.999999,0.0
-3.5,-1.5,-0.989999,4.2695932958922336e-277
-3.5,-1.5,-0.979999,5.991262224709681e-141
-3.5,-1.5,-0.969999,1.8872934546386647e-95
-3.5,-1.5,-0.9599989999999999,1.2033414461834154e-72
-3.5,-1.5,-0.9499989999999999,6.248924188124406e-59
-3.5,-1.5,-0.9399989999999999,9.141263995372309e-50
-3.5,-1.5,-0.9299989999999999,3.333495739152914e-43
-3.5,-1.5,-0.9199989999999999,-1.0198276684941776e-18
-3.5,-1.5,-0.9099989999999999,-1.026603932072212e-18
-3.5,-1.5,-0.8999989999999999,-1.0638733817514012e-18
