0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
767822.3964492606,752810.4693274985,743804.4813902271,724000.2172844228,706750.5411724305,677663.9921143199,653107.1061890295,655594.6412591409,623982.691259364,599505.2758525714,595895.912768613,550208.4502818797,545112.0494891542,547255.3517212155,484811.2119293074,455004.79273015517,415737.53184710414,368368.70606386784,358349.52211813687,329313.83018401335,298823.67943529115,269153.61435921566,261378.2632506221,236988.25229954923,241592.69861653206,234928.44107707374,252723.40312657494,241324.27471917422,252067.37758968255,246784.43609196012,227069.03523968684,224686.18073516415,215352.62039354024,216411.31309844594,209154.098584087
767822.3964492606,753961.5316099318,743880.0076620008,720094.131659729,692414.2666038529,666603.0120154244,595282.4538251611,605389.1215856881,584398.8903950934,577526.3344832562,591272.9327267813,590786.9095220313,592103.9449307302,567652.6989041424,534934.2345982753,504185.7685018993,490576.1330101733,493202.68498274975,479678.80799975904,459112.0262336823,437543.11574337794,439105.88819253736,448856.8199271206,424809.92217490077,421111.7908341557,401003.77854325104,410069.7154269819,391503.79975489073,403751.4966548336,406460.7136860687,418922.63349934755,366426.67689032643,325127.3412512174,320979.0851943013,312721.1100952141
767822.3964492606,733197.7706193617,709654.8000274026,732597.0278905648,748030.5274689749,747880.6250953751,734790.9611501714,714128.4358898577,697821.1786837243,685869.1592286243,684028.0791200725,664417.8583913784,662739.5309280412,656655.1509144381,652057.4515791324,645611.9735443078,617711.0236277094,610736.2263984036,608678.4134891467,602304.7969529239,577359.6985672157,533958.8293772466,475247.1387292692,452173.63655185304,469813.3157376766,462259.4839557277,462763.72472014313,456365.743879345,450923.1126064298,445328.49241259467,438351.82581082935,431865.584042102,426095.16007841425,409353.71682437987,400182.1757394328
767822.3964492606,755233.0559675904,740668.2934118847,724034.8970794703,731400.2907186636,712286.4462838387,732765.9080269384,734826.185305657,722478.7477117832,708130.5471773909,699308.9931147895,709946.5688550775,700070.7625886297,668711.984545694,654356.1031621117,642041.7009794366,623441.7883662432,595613.8376383997,555948.0262859861,535011.502885756,506078.6225446166,508457.44998262107,509440.7828286599,492997.4430963345,472503.238828017,458020.2826890445,460725.9852426555,443468.12023264467,430062.08838342474,432204.6718277895,415010.10546047223,402348.96317388513,403601.14972334105,405153.2926619603,388643.00283958367
767822.3964492606,764112.3260234899,757943.6239615924,746412.7341615473,730169.2435719742,693587.635869676,653562.8114949992,676453.8989376739,626052.1446988356,575671.8889748439,609157.3412488343,600923.9463203975,596209.364121114,579135.0779400486,572713.380294507,564888.7279911409,559736.2783441284,535633.2275169275,519324.16925929615,514687.2457884831,510820.7898371373,526973.4545651102,514874.48313237255,475742.28678639064,463942.9269477549,455242.9674490375,471379.9430733892,470813.8613187156,478295.7724910944,467524.1406472397,461340.92835287657,417482.43217906647,399101.97539772,396410.81932877644,371329.7393853123
767822.3964492606,764185.104847952,767260.7407836783,759204.8721701746,757496.7102841291,752981.1696126333,706949.351449652,728740.9144441622,721348.8295863247,688216.6940392654,659162.0968782689,649314.8137999994,633817.2189153073,625028.5962930128,618570.8938555752,577032.165282872,525371.251910613,515425.326187301,500016.3989145952,497074.2039732564,461894.1695847893,451435.421351996,455706.8576666445,448003.1939104016,431617.2046011637,404723.00391838537,407959.7870103842,392162.0508986249,399982.1027237081,405189.7017532535,409268.0962693604,395691.14505731367,384743.1316334102,376192.2857316742,392432.20080844016
767822.3964492606,768992.6192405367,762797.134228158,752788.1349957391,728340.3193974879,692973.1588545134,663601.391167542,653004.7835140846,635659.9072324416,630225.9877720965,598274.8348412489,558437.9859571189,558639.2664525664,549983.977572695,534799.914859889,530160.042386763,522801.24602323264,522421.7761939425,499350.98173111974,473118.9971975414,468764.26053636085,468464.77011501574,467511.7620185366,432880.59372847684,439886.99629387434,424061.36549222615,442558.38915557135,431350.23778700136,429226.0441988506,412415.8048512829,405574.77872481523,368343.029840323,356995.9361295124,357605.06745052966,354633.5719638665
767822.3964492606,709978.4797805038,740153.5710150417,707358.2750017449,665487.4347953575,625039.3237877394,579348.0722628884,616288.0694037959,584701.8697479218,564956.6675542817,542970.2841608761,524328.7850756575,522637.0492998836,497689.1409144056,489503.67905720347,490645.24387143314,474031.3018399167,471534.65647197043,466866.3121708249,442007.6306881763,427704.98152259283,424552.00486436544,414216.05632542825,389892.89508825215,391110.1164875297,385446.0114699348,389419.4783400128,370891.4223802331,385908.7705766683,379359.2399263658,369630.1164314394,326116.8110339298,319901.28327766055,310638.95827589824,281333.1253645916
767822.3964492606,765656.3678808149,753314.6340665424,731173.581732279,725774.2843862128,722507.6003392463,701798.9023932915,694608.5930820231,685717.0835091043,678519.6332052924,662488.5323345977,656786.9013908172,628308.1851986912,560724.6984097818,525142.9754831031,523060.7953756823,493010.53896335687,497138.00241879496,488516.20697848377,478128.6950560583,469435.4294573174,490707.55591406545,489170.0140642663,472936.6392816419,468275.1736647568,454760.49979309057,462436.08131243853,457915.96736470074,465015.95186037,465244.69036159513,448617.4752031572,419397.91267593944,442385.21856662416,440862.02599239064,433316.9295422227
767822.3964492606,739520.6140453267,714837.9320079671,654838.886387526,653332.670502313,661992.7640122635,608786.1174788291,572755.4862705921,538481.0649382842,565287.5285704399,563473.3127130939,536326.0099717454,561950.0739922983,559987.0398115435,538423.0432138302,527733.5245159664,536332.9461777377,531100.6100217435,523673.7540366421,512596.230059122,494408.82106468175,476290.6463552757,476525.1569258469,461944.31008131866,465831.7218116363,458245.0968920082,462051.9879752475,457341.82420782605,464279.0293482914,460556.49507461255,456464.21575075365,436403.05426094413,419731.3452589284,414822.0421222296,413949.1272794067
767822.3964492606,744649.3370467197,745672.7976424791,733917.0887051004,728324.8412615113,718503.1416159144,621096.2576117885,610353.072126492,576267.4326495187,532703.5963856461,482154.2719959978,455934.8825644309,455237.51042381703,452741.63660893583,477406.58100450126,481170.4233201692,453656.1112979886,433887.8300706967,413921.7741767873,415156.80329958914,373978.81918959535,361355.6031606421,366341.6563521929,357262.375423608,351441.64112368046,308140.6803023361,311417.0848197223,296789.33918206114,298694.17197450553,303553.16370980896,311344.55791785993,310003.0929729775,289465.2780956782,279949.74546692986,301567.99475064466
