0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
4152083.8622033806,3132830.2531131785,5130760.82985183,1737955.7656094786,4857039.245415756,4745147.169082391,3976950.8034434333,940738.0665989248,5169440.725171444,811068.1592827215,823392.4883982978,1101029.7172857004,3012000.9188734475,1074495.5477578652,1164464.0636708038,1139778.3421671086,1392417.7259001061,1573576.3959193546,2544053.3064963575,1648381.267869522,1614259.7008000535,2587464.095330333,1875129.068412095,1784491.2324910597,2967864.4315217906,2905760.6191848773,2629887.6744333105,2006256.0177440403,2564657.477474252,1766890.5046525137,1813641.8930375979,1993090.446126232,2671205.405792006,2431534.520464595,2119148.3337713783
926644.3728022773,4701589.1432415,810431.5176745047,5074230.9597861385,852681.7899167697,885001.4080103106,836045.5973563751,4036157.162468065,932996.3335489506,3705281.8039038973,3741076.1194064543,3248515.0838373443,1949301.2136770706,2959520.6469855797,3405807.184011113,3331680.9845171147,3135638.4793950953,4058828.9987876005,2684237.4205264756,2676582.9357583052,2599607.9630149854,2145421.9367973674,1557490.308396092,1308275.4802385827,1297330.2353211632,1300948.4064540826,1233336.678020775,2998433.26377535,1345207.470911793,3586532.0467001284,3638138.8298379197,3739710.3258634415,1466900.1145629622,1443449.580303456,1446319.6290271298
826085.1611766843,3040820.2740157545,893049.5110981875,4164420.410831088,823543.8599249513,812450.2705581525,798223.8502491653,5038312.913135378,926965.7558844953,3571468.890142464,3648876.426783203,2417577.9585618293,796907.3994413441,1441977.772772124,844516.291345991,835203.7376574741,1734106.8568673858,1228968.9129590068,1734862.4293532772,908190.4533870316,1036738.4018224602,3145091.4357727985,1549771.3383674647,2960453.7096803724,1802519.2247471502,1831310.6409835732,2105822.4268467007,3000755.444950648,3215964.6087004216,3235292.211204002,3307868.433177251,3241132.7890005363,3217847.0612644283,2768080.501982995,4229001.776378618
971466.1687481788,6288814.631875248,981827.6138796405,5407064.9115240015,1152897.5079258136,1124156.6482438827,929384.2916817922,4373916.279068358,7631640.465564265,2371874.429936296,2516721.786416113,1598010.8973850051,6106124.369178354,1201031.6122015219,4756364.487992714,4667131.804039495,1376206.5819898234,4563028.5597417,4506891.032578682,1873711.8877920886,1889746.515977484,5687106.635376045,2433053.613348733,5118958.258436649,2598459.783925298,2613977.8264133246,4282643.752274311,2209473.605593591,4228995.434942631,2021813.443219419,2010727.8501378763,1948858.5252037714,1802367.8176525757,1992827.1489555663,2212088.960147417
1351615.0075273984,862591.855843857,883955.7219516942,1035469.6256150116,1314432.6286903531,1464963.9272893297,2251202.1209745808,1724979.3987927744,3019469.1290890058,1814034.750914771,1719389.3704263533,2061904.7091523805,5659237.167799301,3261724.0520827337,5696007.6313817315,5688658.773129944,3670223.4500703095,6516212.429798111,6944090.829720785,3284558.338138202,3264823.906626769,6013930.819657766,2534139.305425908,5335546.470988702,2355397.7295298083,2458169.3206133205,4708141.916040252,1979755.422188697,4815537.5569797475,4595282.44391756,4586747.530942675,3512722.2271735305,2188569.2619979614,1747892.7805541435,1688588.7060246414
1424673.5822976253,2989273.1365165967,900336.9633333758,3428161.5642747087,992703.504405254,993427.726698869,799016.2913451158,1800157.0974053468,863087.7569978153,1103262.244794854,991838.4434643413,1039546.7598218191,1331332.428453864,972551.4101716616,1683172.717758996,1720609.0689800163,1295545.59276777,1547794.0739484122,1482124.139978714,1311904.4971559008,1347171.2402587333,1147558.617344647,1432781.9408050901,1341504.781810189,1347127.462163214,1593233.5534153455,1336975.818104547,2208849.4432373727,1290532.5335820129,1241819.6820860428,1259862.3003528765,1824972.9688106,3219550.141634621,2552741.377568351,3690279.4441062333
967081.8061313628,1097053.6139730217,846033.4454393141,1031952.79010534,864100.9282703348,869528.5094930048,1019698.618904492,861082.9731954101,879493.2486067485,963393.6778339257,966195.7439729803,1194770.4815600729,2295104.590199101,1091603.356603402,2527399.514112432,2532287.388508543,1582114.5949167972,3354169.305637419,3010641.5804916816,1988220.8142452957,2021085.7031749163,2957652.7406242513,3054591.208542756,2185853.046533899,4124153.1728835423,4091671.171604131,1395479.0493892229,3098149.087345907,1576557.307545046,1537877.5373837182,1529296.1674212103,1550284.362950778,1633475.604290624,1613608.0737212156,1771239.656246995
1453101.0860433562,1661812.1675892496,1198088.65599898,1001183.2935471422,1248744.8097146975,1424752.323547561,1554026.4689097174,1343369.5778367638,1784382.7286461305,1740794.754278882,1727553.048926255,1847779.5150098642,2300577.575636757,2172381.985574897,2382600.821215407,2462410.919576252,2248691.6640182347,2743832.727032256,3089036.206618484,3162528.8588815075,3241613.2183372416,3401464.31644341,3974841.7569898893,3516550.2070074156,3335884.494109056,3380991.894599931,3771942.8393748575,2831587.9260128457,3939095.2740308074,2155956.043296378,2183702.9944865727,2012718.9395101813,3452295.2037551748,3188023.136414871,2738760.3891204866
826046.4293023174,3867077.256596567,902273.2215128831,2366402.2720554946,937698.038617619,927955.2622301691,1215096.6664558,1763464.737864105,1101306.78893385,1052750.1897124052,1028347.350493335,906621.5654226134,1243145.0594411425,1654938.6833281738,1229457.6987006234,1595106.0089168537,1408201.2112519422,1689723.3125574184,1455976.928055566,1741748.543461154,1778633.793856491,1905222.024192779,2752701.9538302873,1723149.376583504,3358056.4895490287,3459770.538857631,3474332.3819811223,3142467.2964901724,1910413.8050007476,2305570.4772084407,2362808.2164869565,2832168.3812745702,2763919.4632747346,2683674.818728306,3139329.698601928
1446849.341056152,1253636.678736173,1189771.179535558,1121963.0569473826,1151244.952169131,1094225.7220205106,1209129.5240527363,1936465.7855289269,1670125.17517611,2448274.1892354353,2251611.227520505,2503118.183610736,1519215.176960473,2166476.289777898,1337150.7068211243,1369863.1558714965,2308324.9329431453,1485618.2590002737,1407067.4343292303,1647525.4187596445,1689963.6604835552,1387438.5450140084,1897417.7343957208,1618160.176873104,2077700.8104782864,2111229.143912938,1733669.489415998,2154665.091316413,1661003.9550238526,1653034.861761666,1645910.7830487548,1902752.8440033856,1940236.4620564566,1813349.8962917645,1848544.5264981657
