lat,lon,depth
63.44582857694189,10.403175595758624,0.5
63.44655576280936,10.401395313334966,5.5
63.44728294867683,10.399614940481921,0.5
63.448010134544305,10.39783447719174,5.5
63.44873732041177,10.396053923456671,0.5
63.44946450627924,10.394273279268962,5.5
63.45019169214671,10.392492544620858,0.5
63.45091887801418,10.390711719504607,5.5
63.45171464116069,10.392338164558407,0.5
63.452510404307205,10.393964700034143,5.5
63.45330616745371,10.395591325940295,0.5
63.454101930600224,10.397218042285347,5.5
63.453374744732756,10.398998900151295,0.5
63.45264755886529,10.400779667535907,5.5
63.45192037299781,10.402560344446943,0.5
63.45119318713034,10.404340930892156,5.5
63.450466001262875,10.4061214268793,0.5
63.449738815395406,10.407901832416128,5.5
63.44901162952794,10.409682147510393,0.5
63.44828444366046,10.411462372169847,5.5
63.447557257792994,10.413242506402241,0.5
63.447943802582444,10.415493702353071,5.5
63.448330347371886,10.417744959090008,0.5
63.448716892161336,10.419996276615821,5.5
63.44910343695078,10.42224765493328,0.5
63.450013124511564,10.421530646726351,5.5
63.45074031037904,10.419750570315355,0.5
63.45146749624651,10.417970403471875,5.5
63.452194682113976,10.41619014618816,0.5
63.452921867981445,10.414409798456461,5.5
63.45364905384891,10.412629360269019,0.5
63.45437623971639,10.410848831618082,5.5
63.45510342558386,10.409068212495894,0.5
63.455830611451326,10.4072875028947,5.5
63.456557797318794,10.405506702806743,0.5
63.45728498318626,10.403725812224264,5.5
63.458080746332776,10.405352980891104,0.5
63.45887650947929,10.406980240047767,5.5
63.459672272625795,10.408607589702743,0.5
63.45894508675833,10.41038850480084,5.5
63.45821790089086,10.412169329394526,0.5
63.45749071502339,10.413950063491557,5.5
63.45676352915592,10.41573070709969,0.5
63.456036343288446,10.41751126022669,5.5
63.45530915742098,10.419291722880306,0.5
63.45458197155351,10.421072095068297,5.5
63.45385478568604,10.422852376798419,0.5
63.45312759981857,10.424632568078426,5.5
63.452400413951096,10.42641266891607,0.5
