x,y,z
0.0,0.0,-0.5
0.0,0.0,0.5
0.0,0.0,1.5
0.0,0.0,2.5
0.0,0.0,3.5
0.0,0.0,4.5
0.0,0.0,5.5
0.0,0.0,6.5
0.0,0.0,7.5
0.0,0.0,8.5
0.0,0.0,9.5
24.205048575254295,21.83332383400814,-0.5
24.205048575254295,21.83332383400814,0.5
24.205048575254295,21.83332383400814,1.5
24.205048575254295,21.83332383400814,2.5
24.205048575254295,21.83332383400814,3.5
24.205048575254295,21.83332383400814,4.5
24.205048575254295,21.83332383400814,5.5
24.205048575254295,21.83332383400814,6.5
24.205048575254295,21.83332383400814,7.5
24.205048575254295,21.83332383400814,8.5
24.205048575254295,21.83332383400814,9.5
48.41009715050859,43.85616492207405,-0.5
48.41009715050859,43.85616492207405,0.5
48.41009715050859,43.85616492207405,1.5
48.41009715050859,43.85616492207405,2.5
48.41009715050859,43.85616492207405,3.5
48.41009715050859,43.85616492207405,4.5
48.41009715050859,43.85616492207405,5.5
48.41009715050859,43.85616492207405,6.5
48.41009715050859,43.85616492207405,7.5
48.41009715050859,43.85616492207405,8.5
48.41009715050859,43.85616492207405,9.5
72.19049007574085,66.06852533909148,-0.5
72.19049007574085,66.06852533909148,0.5
72.19049007574085,66.06852533909148,1.5
72.19049007574085,66.06852533909148,2.5
72.19049007574085,66.06852533909148,3.5
72.19049007574085,66.06852533909148,4.5
72.19049007574085,66.06852533909148,5.5
72.19049007574085,66.06852533909148,6.5
72.19049007574085,66.06852533909148,7.5
72.19049007574085,66.06852533909148,8.5
72.19049007574085,66.06852533909148,9.5
95.97089211297316,87.71101429917442,-0.5
95.97089211297316,87.71101429917442,0.5
95.97089211297316,87.71101429917442,1.5
95.97089211297316,87.71101429917442,2.5
95.97089211297316,87.71101429917442,3.5
95.97089211297316,87.71101429917442,4.5
95.97089211297316,87.71101429917442,5.5
95.97089211297316,87.71101429917442,6.5
95.97089211297316,87.71101429917442,7.5
95.97089211297316,87.71101429917442,8.5
95.97089211297316,87.71101429917442,9.5
120.17594524422748,109.92272619628505,-0.5
120.17594524422748,109.92272619628505,0.5
120.17594524422748,109.92272619628505,1.5
120.17594524422748,109.92272619628505,2.5
120.17594524422748,109.92272619628505,3.5
120.17594524422748,109.92272619628505,4.5
120.17594524422748,109.92272619628505,5.5
120.17594524422748,109.92272619628505,6.5
120.17594524422748,109.92272619628505,7.5
120.17594524422748,109.92272619628505,8.5
120.17594524422748,109.92272619628505,9.5
143.9563518374598,131.7543985035472,-0.5
143.9563518374598,131.7543985035472,0.5
143.9563518374598,131.7543985035472,1.5
143.9563518374598,131.7543985035472,2.5
143.9563518374598,131.7543985035472,3.5
143.9563518374598,131.7543985035472,4.5
143.9563518374598,131.7543985035472,5.5
143.9563518374598,131.7543985035472,6.5
143.9563518374598,131.7543985035472,7.5
143.9563518374598,131.7543985035472,8.5
143.9563518374598,131.7543985035472,9.5
168.16139585671408,153.58576154975435,-0.5
168.16139585671408,153.58576154975435,0.5
168.16139585671408,153.58576154975435,1.5
168.16139585671408,153.58576154975435,2.5
168.16139585671408,153.58576154975435,3.5
168.16139585671408,153.58576154975435,4.5
168.16139585671408,153.58576154975435,5.5
168.16139585671408,153.58576154975435,6.5
168.16139585671408,153.58576154975435,7.5
168.16139585671408,153.58576154975435,8.5
168.16139585671408,153.58576154975435,9.5
191.94178422594632,175.60661853129847,-0.5
191.94178422594632,175.60661853129847,0.5
191.94178422594632,175.60661853129847,1.5
191.94178422594632,175.60661853129847,2.5
191.94178422594632,175.60661853129847,3.5
191.94178422594632,175.60661853129847,4.5
191.94178422594632,175.60661853129847,5.5
191.94178422594632,175.60661853129847,6.5
191.94178422594632,175.60661853129847,7.5
191.94178422594632,175.60661853129847,8.5
191.94178422594632,175.60661853129847,9.5
216.57148389522263,197.43721973158065,-0.5
216.57148389522263,197.43721973158065,0.5
216.57148389522263,197.43721973158065,1.5
216.57148389522263,197.43721973158065,2.5
216.57148389522263,197.43721973158065,3.5
216.57148389522263,197.43721973158065,4.5
216.57148389522263,197.43721973158065,5.5
216.57148389522263,197.43721973158065,6.5
216.57148389522263,197.43721973158065,7.5
216.57148389522263,197.43721973158065,8.5
216.57148389522263,197.43721973158065,9.5
239.92723483843292,219.07780987895285,-0.5
239.92723483843292,219.07780987895285,0.5
239.92723483843292,219.07780987895285,1.5
239.92723483843292,219.07780987895285,2.5
239.92723483843292,219.07780987895285,3.5
239.92723483843292,219.07780987895285,4.5
239.92723483843292,219.07780987895285,5.5
239.92723483843292,219.07780987895285,6.5
239.92723483843292,219.07780987895285,7.5
239.92723483843292,219.07780987895285,8.5
239.92723483843292,219.07780987895285,9.5
264.1322606336871,241.28747623666467,-0.5
264.1322606336871,241.28747623666467,0.5
264.1322606336871,241.28747623666467,1.5
264.1322606336871,241.28747623666467,2.5
264.1322606336871,241.28747623666467,3.5
264.1322606336871,241.28747623666467,4.5
264.1322606336871,241.28747623666467,5.5
264.1322606336871,241.28747623666467,6.5
264.1322606336871,241.28747623666467,7.5
264.1322606336871,241.28747623666467,8.5
264.1322606336871,241.28747623666467,9.5
288.33734110094156,263.30702671522624,-0.5
288.33734110094156,263.30702671522624,0.5
288.33734110094156,263.30702671522624,1.5
288.33734110094156,263.30702671522624,2.5
288.33734110094156,263.30702671522624,3.5
288.33734110094156,263.30702671522624,4.5
288.33734110094156,263.30702671522624,5.5
288.33734110094156,263.30702671522624,6.5
288.33734110094156,263.30702671522624,7.5
288.33734110094156,263.30702671522624,8.5
288.33734110094156,263.30702671522624,9.5
312.5424033441959,285.3262669552331,-0.5
312.5424033441959,285.3262669552331,0.5
312.5424033441959,285.3262669552331,1.5
312.5424033441959,285.3262669552331,2.5
312.5424033441959,285.3262669552331,3.5
312.5424033441959,285.3262669552331,4.5
312.5424033441959,285.3262669552331,5.5
312.5424033441959,285.3262669552331,6.5
312.5424033441959,285.3262669552331,7.5
312.5424033441959,285.3262669552331,8.5
312.5424033441959,285.3262669552331,9.5
336.32279171342816,307.1552441320332,-0.5
336.32279171342816,307.1552441320332,0.5
336.32279171342816,307.1552441320332,1.5
336.32279171342816,307.1552441320332,2.5
336.32279171342816,307.1552441320332,3.5
336.32279171342816,307.1552441320332,4.5
336.32279171342816,307.1552441320332,5.5
336.32279171342816,307.1552441320332,6.5
336.32279171342816,307.1552441320332,7.5
336.32279171342816,307.1552441320332,8.5
336.32279171342816,307.1552441320332,9.5
360.1031800826604,329.17382809301023,-0.5
360.1031800826604,329.17382809301023,0.5
360.1031800826604,329.17382809301023,1.5
360.1031800826604,329.17382809301023,2.5
360.1031800826604,329.17382809301023,3.5
360.1031800826604,329.17382809301023,4.5
360.1031800826604,329.17382809301023,5.5
360.1031800826604,329.17382809301023,6.5
360.1031800826604,329.17382809301023,7.5
360.1031800826604,329.17382809301023,8.5
360.1031800826604,329.17382809301023,9.5
383.88356845189264,350.81234379253226,-0.5
383.88356845189264,350.81234379253226,0.5
383.88356845189264,350.81234379253226,1.5
383.88356845189264,350.81234379253226,2.5
383.88356845189264,350.81234379253226,3.5
383.88356845189264,350.81234379253226,4.5
383.88356845189264,350.81234379253226,5.5
383.88356845189264,350.81234379253226,6.5
383.88356845189264,350.81234379253226,7.5
383.88356845189264,350.81234379253226,8.5
383.88356845189264,350.81234379253226,9.5
408.51326812116895,373.0200258217764,-0.5
408.51326812116895,373.0200258217764,0.5
408.51326812116895,373.0200258217764,1.5
408.51326812116895,373.0200258217764,2.5
408.51326812116895,373.0200258217764,3.5
408.51326812116895,373.0200258217764,4.5
408.51326812116895,373.0200258217764,5.5
408.51326812116895,373.0200258217764,6.5
408.51326812116895,373.0200258217764,7.5
408.51326812116895,373.0200258217764,8.5
408.51326812116895,373.0200258217764,9.5
432.29369293840136,395.03764952968197,-0.5
432.29369293840136,395.03764952968197,0.5
432.29369293840136,395.03764952968197,1.5
432.29369293840136,395.03764952968197,2.5
432.29369293840136,395.03764952968197,3.5
432.29369293840136,395.03764952968197,4.5
432.29369293840136,395.03764952968197,5.5
432.29369293840136,395.03764952968197,6.5
432.29369293840136,395.03764952968197,7.5
432.29369293840136,395.03764952968197,8.5
432.29369293840136,395.03764952968197,9.5
456.49873695765564,417.0548112465151,-0.5
456.49873695765564,417.0548112465151,0.5
456.49873695765564,417.0548112465151,1.5
456.49873695765564,417.0548112465151,2.5
456.49873695765564,417.0548112465151,3.5
456.49873695765564,417.0548112465151,4.5
456.49873695765564,417.0548112465151,5.5
456.49873695765564,417.0548112465151,6.5
456.49873695765564,417.0548112465151,7.5
456.49873695765564,417.0548112465151,8.5
456.49873695765564,417.0548112465151,9.5
480.2791253268879,438.88190575837535,-0.5
480.2791253268879,438.88190575837535,0.5
480.2791253268879,438.88190575837535,1.5
480.2791253268879,438.88190575837535,2.5
480.2791253268879,438.88190575837535,3.5
480.2791253268879,438.88190575837535,4.5
480.2791253268879,438.88190575837535,5.5
480.2791253268879,438.88190575837535,6.5
480.2791253268879,438.88190575837535,7.5
480.2791253268879,438.88190575837535,8.5
480.2791253268879,438.88190575837535,9.5
504.48416934614215,460.89843023013856,-0.5
504.48416934614215,460.89843023013856,0.5
504.48416934614215,460.89843023013856,1.5
504.48416934614215,460.89843023013856,2.5
504.48416934614215,460.89843023013856,3.5
504.48416934614215,460.89843023013856,4.5
504.48416934614215,460.89843023013856,5.5
504.48416934614215,460.89843023013856,6.5
504.48416934614215,460.89843023013856,7.5
504.48416934614215,460.89843023013856,8.5
504.48416934614215,460.89843023013856,9.5
528.2645212673742,483.1044315375549,-0.5
528.2645212673742,483.1044315375549,0.5
528.2645212673742,483.1044315375549,1.5
