x,y,z,lat,lon,depth,lat_origin,lon_origin
1005.7027460258321,-996.6144097403105,0.5,63.45195125535909,10.390258932696462,0.5,63.44291687011719,10.410289764404297
901.7796975718303,-936.6488673568796,0.5,63.45101769834241,10.391464786741315,0.5,63.44291687011719,10.410289764404297
1005.7027460258321,-876.6144097403123,0.5,63.45195125535909,10.392670798089384,0.5,63.44291687011719,10.410289764404297
797.8566491178285,-756.6833246929547,0.5,63.45008414132573,10.395082270238689,0.5,63.44291687011719,10.410289764404297
901.7796975718303,-816.6488673569419,0.5,63.45101769834241,10.393876573482627,0.5,63.44291687011719,10.410289764404297
1005.7027460258321,-756.6144097403142,0.5,63.45195125535909,10.395082663482306,0.5,63.44291687011719,10.410289764404297
1109.625794479834,-816.5799518431611,0.5,63.45288481237577,10.393876888100603,0.5,63.44291687011719,10.410289764404297
1213.5488429346267,-756.545493665568,0.5,63.45381836939246,10.395083056783628,0.5,63.44291687011719,10.410289764404297
590.0105522098246,-636.7522385235179,0.5,63.44821702729237,10.397493427873867,0.5,63.44291687011719,10.410289764404297
693.9336006638265,-696.7177817485292,0.5,63.44915058430905,10.396287888366217,0.5,63.44291687011719,10.410289764404297
797.8566491178285,-636.6833246929976,0.5,63.45008414132573,10.397493978334163,0.5,63.44291687011719,10.410289764404297
901.7796975718303,-696.6488673569156,0.5,63.45101769834241,10.396288360223942,0.5,63.44291687011719,10.410289764404297
1005.7027460258321,-636.6144097403161,0.5,63.45195125535909,10.397494528875228,0.5,63.44291687011719,10.410289764404297
1109.625794479834,-696.57995184323,0.5,63.45288481237577,10.396288832150903,0.5,63.44291687011719,10.410289764404297
1213.5488429346267,-636.5454936655959,0.5,63.45381836939246,10.397495079497078,0.5,63.44291687011719,10.410289764404297
1317.4718913886286,-696.5110352074723,0.5,63.45475192640914,10.396289304147118,0.5,63.44291687011719,10.410289764404297
1421.3949398426305,-636.4765764688713,0.5,63.45568548342582,10.397495630199732,0.5,63.44291687011719,10.410289764404297
